candidate_id,rank,score,reasoning
CAND_0068932,23,0.017755,"ML Engineer with 5.2 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=555, tab_rank=2]"
CAND_0081846,24,0.017653,"Lead AI Engineer with 6.7 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=734]"
CAND_0091534,25,0.017622,"AI Engineer with 16.6 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=754]"
CAND_0051292,26,0.01759,"Applied ML Engineer with 5.2 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=776]"
CAND_0041610,27,0.017451,"Recommendation Systems Engineer with 6.7 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=886]"
CAND_0054394,28,0.017413,"Recommendation Systems Engineer with 4.1 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=921]"
CAND_0061265,29,0.016869,"Recommendation Systems Engineer with 6.6 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=2043]"
CAND_0018722,30,0.016833,"Recommendation Systems Engineer with 6.6 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=2213]"
CAND_0043228,31,0.016819,"Applied ML Engineer with 6.8 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=2288]"
CAND_0007411,32,0.016815,"Senior Machine Learning Engineer with 8.0 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=2314]"
CAND_0017960,33,0.016787,"Recommendation Systems Engineer with 7.7 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=2483]"
CAND_0088025,34,0.016783,"Staff Machine Learning Engineer with 8.6 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=2508]"
CAND_0053591,35,0.016776,"AI Engineer with 5.3 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=2555]"
CAND_0071974,36,0.016775,"Senior AI Engineer with 7.8 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=2561]"
CAND_0094759,37,0.016764,"Lead AI Engineer with 8.6 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=2637]"
CAND_0098846,38,0.016727,"AI Engineer with 7.6 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=2937]"
CAND_0075249,39,0.016691,"Applied ML Engineer with 6.2 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=3305]"
CAND_0077285,40,0.016691,"Recommendation Systems Engineer with 5.5 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=3306]"
CAND_0008425,41,0.016679,"Senior NLP Engineer with 7.8 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=3437]"
CAND_0054123,42,0.016679,"Applied ML Engineer with 4.7 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=3441]"
CAND_0039754,43,0.016674,"Senior Applied Scientist with 16.2 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=3504]"
CAND_0044883,44,0.01667,"AI Engineer with 6.3 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=3554]"
CAND_0052335,45,0.01666,"Applied ML Engineer with 6.4 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=3697]"
CAND_0081686,46,0.01665,"Search Engineer with 6.0 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=3837]"
CAND_0075574,47,0.016635,"Machine Learning Engineer with 5.7 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=4072]"
CAND_0011432,48,0.016626,"Senior Data Scientist with 7.6 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=4248]"
CAND_0044222,49,0.016623,"AI Engineer with 7.7 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=4302]"
CAND_0031593,50,0.016605,"Search Engineer with 7.8 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=4659]"
CAND_0057563,51,0.016583,"NLP Engineer with 6.8 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=5205]"
CAND_0037944,52,0.016582,"Senior Data Scientist with 4.9 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=5254]"
CAND_0051630,53,0.016576,"Machine Learning Engineer with 6.0 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=5420]"
CAND_0042506,54,0.016566,"Search Engineer with 4.2 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=5736]"
CAND_0096172,55,0.016566,"NLP Engineer with 5.2 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=5751]"
CAND_0044855,56,0.016561,"Senior Data Scientist with 6.6 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=5922]"
CAND_0030953,57,0.016536,"Search Engineer with 7.8 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=6979]"
CAND_0075439,58,0.016516,"Machine Learning Engineer with 4.3 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=8107]"
CAND_0013613,59,0.016476,"Machine Learning Engineer with 4.7 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=12043]"
CAND_0083307,60,0.016476,"Search Engineer with 7.8 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=12099]"
CAND_0055992,61,0.016475,"AI Engineer with 16.9 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=12149]"
CAND_0028793,62,0.016474,"Search Engineer with 7.2 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=12291]"
CAND_0037000,63,0.016473,"Search Engineer with 2.7 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=12533]"
CAND_0070398,64,0.016472,"Machine Learning Engineer with 7.2 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=12593]"
CAND_0030827,65,0.01647,"Senior Data Scientist with 5.4 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=12963]"
CAND_0086151,66,0.01647,"Recommendation Systems Engineer with 7.7 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=12976]"
CAND_0026532,67,0.016466,"Recommendation Systems Engineer with 4.8 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=13693]"
CAND_0070485,68,0.016462,"Search Engineer with 6.4 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=14426]"
CAND_0089552,69,0.016455,"Machine Learning Engineer with 6.0 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=16270]"
CAND_0074225,70,0.016442,"Machine Learning Engineer with 4.3 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=20536]"
CAND_0084819,71,0.01644,"Search Engineer with 4.5 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=21430]"
CAND_0019480,72,0.016437,"NLP Engineer with 2.8 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=22641]"
CAND_0001610,73,0.016434,"Machine Learning Engineer with 3.0 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=24635]"
CAND_0093547,74,0.016434,"Senior Machine Learning Engineer with 2.9 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=24774]"
CAND_0097176,75,0.015711,"ML Engineer with 5.9 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=555, tab_rank=11]"
CAND_0061257,76,0.01562,"Staff Machine Learning Engineer with 8.0 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1379, tab_rank=7]"
CAND_0043676,77,0.015532,"Senior Software Engineer (ML) with 6.1 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=6742, tab_rank=5]"
CAND_0090201,78,0.015299,"Data Analyst with 8.0 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=6742, tab_rank=6]"
CAND_0018564,79,0.014965,"Software Engineer with 5.4 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=3806, tab_rank=8]"
CAND_0005509,80,0.013972,"Data Scientist with 6.0 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=555, tab_rank=21]"
CAND_0003841,81,0.013674,"ML Engineer with 5.0 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=555, tab_rank=23]"
CAND_0074486,82,0.013391,"Computer Vision Engineer with 5.5 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=555, tab_rank=25]"
CAND_0029614,83,0.013112,"Backend Engineer with 5.3 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=3366, tab_rank=18]"
CAND_0080577,84,0.012729,"Full Stack Developer with 5.4 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=13977, tab_rank=19]"
CAND_0096104,85,0.012496,"AI Specialist with 7.0 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=555, tab_rank=32]"
CAND_0033336,86,0.012266,"Java Developer with 7.7 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=13977, tab_rank=22]"
CAND_0055905,87,0.01222,"Senior Machine Learning Engineer with 8.1 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=880]"
CAND_0010685,88,0.012155,"NLP Engineer with 6.7 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=970]"
CAND_0088139,89,0.011976,"Project Manager with 7.4 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=13977, tab_rank=24]"
CAND_0040117,90,0.011934,"Recommendation Systems Engineer with 6.5 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=1467]"
CAND_0060054,91,0.011838,"AI Engineer with 6.4 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=1868]"
CAND_0092278,92,0.011685,"Senior NLP Engineer with 6.8 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=3286]"
CAND_0041611,93,0.011624,"Staff Machine Learning Engineer with 6.4 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=4649]"
CAND_0030348,94,0.011592,"Machine Learning Engineer with 4.5 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=5957]"
CAND_0005260,95,0.011589,"Senior NLP Engineer with 5.2 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=6077]"
CAND_0041568,96,0.011589,"Search Engineer with 5.2 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=6125]"
CAND_0066376,97,0.011587,"Applied ML Engineer with 5.7 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=6210]"
CAND_0049896,98,0.011574,"Search Engineer with 7.3 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=7060]"
CAND_0010770,99,0.011569,"Recommendation Systems Engineer with 15.2 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=1, tab_rank=7413]"
CAND_0028084,100,0.011565,"Frontend Engineer with 8.9 years of experience. Blended RRF model confirms high technical alignment with strong platform intent markers. [lex_rank=13977, tab_rank=27]"
